name	location	url	type	coordinates	description
Tule Lake National Monument	California	https://en.wikipedia.org/wiki/Tule_Lake_National_Monument	National monuments	41.88944; -121.37472	The Tule Lake National Monument[4] in Modoc and Siskiyou counties in California, consists primarily of the site of the Tule Lake War Relocation Center, one of ten concentration camps constructed in 1942 by the United States government to incarcerate Japanese Americans forcibly removed from their homes on the West Coast.  They totaled nearly 120,000 people, more than two-thirds of whom were United States citizens.
Tule Springs Fossil Beds National Monument	Nevada	https://en.wikipedia.org/wiki/Tule_Springs_Fossil_Beds_National_Monument	National monuments	36.371; -115.306	Tule Springs Fossil Beds National Monument, a United States National Monument near Las Vegas, Clark County, Nevada, was established in 2014 to protect Ice Age paleontological discoveries.  The 22,650-acre (9,170 ha) monument is administered by the National Park Service.
Tuzigoot National Monument	Arizona	https://en.wikipedia.org/wiki/Tuzigoot_National_Monument	National monuments	34.7708537; -112.0259912	Tuzigoot National Monument (Yavapai: ʼHaktlakva, Western Apache: Tú Digiz) preserves a 2- to 3-story pueblo ruin on the summit of a limestone and sandstone ridge just east of Clarkdale, Arizona, 120 feet (37 m) above the Verde River floodplain.  The Tuzigoot Site is an elongated complex of stone masonry rooms that were built along the spine of a natural outcrop in the Verde Valley.
Virgin Islands Coral Reef National Monument	U.S. Virgin Islands	https://en.wikipedia.org/wiki/Virgin_Islands_Coral_Reef_National_Monument	National monuments	18.30611; -64.72694	The Virgin Islands Coral Reef National Monument is a U. S.
Waco Mammoth National Monument	Texas	https://en.wikipedia.org/wiki/Waco_Mammoth_National_Monument	National monuments	31.606000; -97.17500	The Waco Mammoth National Monument is a paleontological site and museum in Waco, Texas, United States where fossils of 24 Columbian mammoths (Mammuthus columbi) and other mammals from the Pleistocene Epoch have been uncovered.  The site is the largest known concentration of mammoths dying from a (possibly) reoccurring event, which is believed to have been a flash flood.
Walnut Canyon National Monument	Arizona	https://en.wikipedia.org/wiki/Walnut_Canyon_National_Monument	National monuments	35.16583; -111.50194	Walnut Canyon National Monument (Hopi: Wupatupqa) is a United States National Monument located about 10 mi (16 km) southeast of downtown Flagstaff, Arizona, near Interstate 40.  The canyon rim elevation is 6,690 ft (2,040 m); the canyon's floor is 350 ft lower.
Wupatki National Monument	Arizona	https://en.wikipedia.org/wiki/Wupatki_National_Monument	National monuments	35.55750; -111.39583	The Wupatki National Monument is a United States National Monument located in north-central Arizona, near Flagstaff.  Rich in Native American archaeological sites, the monument is administered by the National Park Service in close conjunction with the nearby Sunset Crater Volcano National Monument.
Yucca House National Monument	Colorado	https://en.wikipedia.org/wiki/Yucca_House_National_Monument	National monuments	37.25028; -108.68639	Yucca House National Monument is a United States National Monument located in Montezuma County, Colorado between the towns of Towaoc (headquarters of the Ute Mountain Ute Tribe) and Cortez, Colorado.  Yucca House is a large, unexcavated Ancestral Puebloan archaeological site.
Carlsbad Cave National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Denali National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Grand Canyon National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Grand Canyon National Monument	Unknown	https://en.wikipedia.org/wiki/Grand_Canyon_National_Monument	National monuments	36.0552608; -112.1218355	Grand Canyon National Park, located in northwestern Arizona, is the 15th site in the United States to have been named as a national park.  The park's central feature is the Grand Canyon, a gorge of the Colorado River, which is often considered one of the Wonders of the World.
Marble Canyon National Monument	Unknown	https://en.wikipedia.org/wiki/Marble_Canyon_National_Monument	National monuments	36.0552608; -112.1218355	Grand Canyon National Park, located in northwestern Arizona, is the 15th site in the United States to have been named as a national park.  The park's central feature is the Grand Canyon, a gorge of the Colorado River, which is often considered one of the Wonders of the World.
Kobuk Valley National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Papago Saguaro National Monument	Unknown	https://en.wikipedia.org/wiki/Papago_Park	National monuments	33.452; -111.948	Papago Park (/ˈpæpəɡoʊ/) is a municipal park of the cities of Phoenix and Tempe, Arizona, United States.  It has been designated as a Phoenix Point of Pride.
Pullman National Monument	Unknown	https://en.wikipedia.org/wiki/Pullman_National_Monument	National monuments	41.69722; -87.60944	Pullman National Historical Park is a historic district located in Chicago and was the first model, planned industrial community in the United States. [1] The district had its origins in the manufacturing plans and organization of the Pullman Company and became one of the most well-known company towns in the United States, as well as the scene of the violent 1894 Pullman strike.
Lewis and Clark Cavern National Monument	Unknown	https://en.wikipedia.org/wiki/Lewis_and_Clark_Caverns	National monuments	45.83917; -111.88667	Lewis and Clark Caverns State Park is a 3,000-acre (1,200 ha) public recreation and nature preservation area located twelve miles (19 km) east of Whitehall in Jefferson County, Montana.  The state park includes two visitor centers, ten miles of hiking trails, a campground, and its namesake limestone caverns.
Kenai Fjords National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Channel Islands National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Father Millet Cross National Monument	Unknown	https://en.wikipedia.org/wiki/Father_Millet_Cross_National_Monument	National monuments	43.263528; -79.062972	The Father Millet Cross is a memorial on the grounds of Fort Niagara in Youngstown, New York.   The 18-foot (5.5 m) bronze cross is a replacement for the wooden cross erected by Pierre Millet at the New French Fort Denonville in 1688.
First State National Monument	Unknown	https://en.wikipedia.org/wiki/First_State_National_Historical_Park	National monuments	39.66472; -75.56528	First State National Historical Park is a National Park Service unit which lies primarily in the state of Delaware but which extends partly into Pennsylvania in Chadds Ford.  Initially created as First State National Monument by President Barack Obama under the Antiquities Act on March 25, 2013, the park was later redesignated as First State National Historical Park by Congress.
Lake Clark National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Black Canyon of the Gunnison National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Harriet Tubman Underground Railroad National Monument	Unknown	https://en.wikipedia.org/wiki/Harriet_Tubman_Underground_Railroad_National_Monument	National monuments	38.4483; -76.1387	Harriet Tubman Underground Railroad National Historical Park is a 480-acre (190 ha) National Park Service unit in the U. S.
Mukuntuweap National Monument(renamed Zion National Monument in 1918)	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
"Zion National Monument(""the Kolob Canyons area"")"	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Capitol Reef National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Arches National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Bryce Canyon National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Wheeler National Monument	Unknown	https://en.wikipedia.org/wiki/Wheeler_Geologic_Area	National monuments	37.884; -106.784	Coordinates: 37°53′02″N 106°47′02″W﻿ / ﻿37.884°N 106.784°W﻿ / 37.884; -106.784
Holy Cross National Monument	Unknown	https://en.wikipedia.org/wiki/Mount_of_the_Holy_Cross	National monuments	39.4668287; -106.4816869	Mount of the Holy Cross is a high and prominent mountain summit in the northern Sawatch Range of the Rocky Mountains of North America.   The 14,011-foot (4270.5 m) fourteener is located in the Holy Cross Wilderness of White River National Forest, 6.6 miles (10.7 km) west-southwest (bearing 244°) of the Town of Red Cliff in Eagle County, Colorado, United States.
White Sands National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Jackson Hole National Monument	Unknown	https://en.wikipedia.org/wiki/Jackson_Hole_National_Monument	National monuments	Unknown	On March 15, 1943, Franklin D.  Roosevelt signed Presidential Proclamation 2578 establishing a large swath of land east of the Teton National Park as a national monument.
Shoshone Cavern National Monument	Unknown	https://en.wikipedia.org/wiki/Shoshone_Cavern_National_Monument	National monuments	44.50167; -109.14667	Shoshone Cavern National Monument was proclaimed by William Howard Taft on September 21, 1909. [1]  On March 17, 1954, the 83rd Congress abolished the monument and transferred the 210 acres (0.85 km2) site to the city of Cody, Wyoming.
Old Kasaan National Monument	Unknown	https://en.wikipedia.org/wiki/Old_Kasaan_National_Monument	National monuments	55.54167; -132.40194	Kasaan /kəˈsæn/ (Haida: Gasa'áan; Tlingit: Kasa'aan) is a city in the Prince of Wales-Hyder Census Area in the U. S.
Castle Pinckney National Monument	Unknown	https://en.wikipedia.org/wiki/Castle_Pinckney	National monuments	32.77361; -79.91139	Castle Pinckney was a small masonry fortification constructed by the United States government, in the harbor of Charleston, South Carolina in 1810. [2][3] It was used very briefly as a prisoner-of-war camp (six weeks) and artillery position during the American Civil War.
Saguaro National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Verendrye National Monument	Unknown	https://en.wikipedia.org/wiki/Verendrye_National_Monument	National monuments	47.9825; -102.54528	Verendrye National Monument was a federally protected area in the U. S.
Gates of the Arctic National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Fossil Cycad National Monument	Unknown	https://en.wikipedia.org/wiki/Fossil_Cycad_National_Monument	National monuments	43.39500; -103.72639	Fossil Cycad National Monument was a national monument in the U. S.
Death Valley National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Joshua Tree National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Ackia Battlefield National Monument	Unknown	https://en.wikipedia.org/wiki/Ackia_Battlefield_National_Monument	National monuments	Unknown	Natchez Trace Parkway
Meriwether Lewis National Monument	Unknown	https://en.wikipedia.org/wiki/Meriwether_Lewis_National_Monument	National monuments	Unknown	Natchez Trace Parkway
Katmai National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Mount Olympus National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Petrified Forest National Monument	Unknown	https://en.wikipedia.org/wiki/Petrified_Forest_National_Monument	National monuments	35.08806; -109.80639	Unknown
Lehman Caves National Monument	Unknown	https://en.wikipedia.org/wiki/Lehman_Caves_National_Monument	National monuments	39.00581; -114.21969	Great Basin National Park is an American national park located in White Pine County in east-central Nevada, near the Utah border, established in 1986.  The park is most commonly entered by way of Nevada State Route 488, which is connected to U.
Congaree Swamp National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Glacier Bay National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Mound City Group National Monument	Unknown	https://en.wikipedia.org/wiki/Mound_City_Group_National_Monument	National monuments	39.37583; -83.00639	Hopewell Culture National Historical Park is a United States national historical park with earthworks and burial mounds from the Hopewell culture, indigenous peoples who flourished from about 200 BC to AD 500.   The park is composed of six separate sites in Ross County, Ohio, including the former Mound City Group National Monument.
Minidoka Internment National Monument	Unknown	https://en.wikipedia.org/wiki/Minidoka_National_Historic_Site	National monuments	42.679; -114.244	Minidoka National Historic Site is a National Historic Site in the western United States.  It commemorates the more than 13,000 Japanese Americans who were imprisoned at the Minidoka War Relocation Center during the Second World War.
Pinnacles National Monument	Unknown	https://en.wikipedia.org/wiki/Pinnacles_National_Park	National monuments	36.48694; -121.16694	Pinnacles National Park is an American national park protecting a mountainous area located east of the Salinas Valley in Central California, about five miles (8.0 km) east of Soledad and 80 miles (130 km) southeast of San Jose.  The park's namesakes are the eroded leftovers of the western half of an extinct volcano that has moved 200 miles (320 km) from its original location on the San Andreas Fault, embedded in a portion of the California Pacific Coast Ranges.
Andrew Johnson National Monument	Unknown	https://en.wikipedia.org/wiki/Andrew_Johnson_National_Historic_Site	National monuments	36.15833; -82.83500	Unknown
Sieur de Monts National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Edison Laboratory National Monument	Unknown	https://en.wikipedia.org/wiki/Edison_Laboratory_National_Monument	National monuments	40.78361; -74.23361	Thomas Edison National Historical Park preserves Thomas Edison's laboratory and residence, Glenmont, in West Orange, New Jersey, United States.  These were designed, in 1887, by architect Henry Hudson Holly.
Wrangell–St. Elias National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Badlands National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Great Sand Dunes National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Biscayne National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Fort Jefferson National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Cinder Cone National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Lassen Peak National Monument	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Homestead National Monument of America	Unknown	https://en.wikipedia.org	National monuments	Unknown	The Providence and Worcester Railroad (P&W) is an American Class II railroad operating 612 miles (985 km) of tracks in Rhode Island, Massachusetts, Connecticut, and New York.  It was formed in 1844 to connect its eponymous cities, and ran its first trains in 1847.
Aniakchak National Monument and Preserve	Alaska	https://en.wikipedia.org/wiki/Aniakchak_National_Monument_and_Preserve	National preserves	56.833; -158.250	Aniakchak National Monument and Preserve is a U. S.
Bering Land Bridge National Preserve	Alaska	https://en.wikipedia.org/wiki/Bering_Land_Bridge_National_Preserve	National preserves	65.833; -164.167	The Bering Land Bridge National Preserve is one of the most remote Protected areas of the United States, located on the Seward Peninsula. [3] The National Preserve protects a remnant of the Bering Land Bridge that connected Asia with North America more than 13,000 years ago during the Pleistocene ice age.
Big Cypress National Preserve	Florida	https://en.wikipedia.org/wiki/Big_Cypress_National_Preserve	National preserves	25.85889; -81.03389	Big Cypress National Preserve is a United States National Preserve located in South Florida, about 45 miles (72 kilometers) west of Miami on the Atlantic coastal plain.  The 720,000-acre (2,900 km2) Big Cypress, along with Big Thicket National Preserve in Texas, became the first national preserves in the United States National Park System when they were established on October 11, 1974.
Big Thicket National Preserve	Texas	https://en.wikipedia.org/wiki/Big_Thicket	National preserves	30.54667; -94.34028	The Big Thicket[3] is the name given to a somewhat imprecise region of a heavily forested area of Southeast Texas in the United States.  This area represents a portion of the mixed pine-hardwood forests of the Southeast US.
Craters of the Moon National Monument and Preserve	Idaho	https://en.wikipedia.org/wiki/Craters_of_the_Moon_National_Monument_and_Preserve	National preserves	43.46167; -113.56271	Unknown
Denali National Park and Preserve	Alaska	https://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve	National preserves	63.43; -150.32	Denali National Park and Preserve, formerly known as Mount McKinley National Park, is an American national park and preserve located in Interior Alaska, centered on Denali, the highest mountain in North America.  The park and contiguous preserve encompass 6,045,153 acres (9,446 sq mi; 24,464 km2) which is larger than the state of New Hampshire.
Gates of the Arctic National Park and Preserve	Alaska	https://en.wikipedia.org/wiki/Gates_of_the_Arctic_National_Park_and_Preserve	National preserves	67.783; -153.300	Gates of the Arctic National Park and Preserve is an American national park that protects portions of the Brooks Range in northern Alaska.  The park is the northernmost national park in the United States, situated entirely north of the Arctic Circle.
Glacier Bay National Park and Preserve	Alaska	https://en.wikipedia.org/wiki/Glacier_Bay_National_Park_and_Preserve	National preserves	58.500; -137.000	Glacier Bay National Park and Preserve is an American national park located in Southeast Alaska west of Juneau.  President Calvin Coolidge proclaimed the area around Glacier Bay a national monument under the Antiquities Act on February 26, 1925.
Great Sand Dunes National Park and Preserve	Colorado	https://en.wikipedia.org/wiki/Great_Sand_Dunes_National_Park_and_Preserve	National preserves	37.732870; -105.512120	Great Sand Dunes National Park and Preserve is an American national park that conserves an area of large sand dunes up to 750 feet (230 m) tall[5] on the eastern edge of the San Luis Valley, and an adjacent national preserve in the Sangre de Cristo Range, in south-central Colorado, United States. [6] The park was originally designated Great Sand Dunes National Monument on March 17, 1932, by President Herbert Hoover.
Katmai National Park and Preserve	Alaska	https://en.wikipedia.org/wiki/Katmai_National_Park_and_Preserve	National preserves	58.5; -155	Katmai National Park and Preserve is an American national park and preserve in southwest Alaska, notable for the Valley of Ten Thousand Smokes and for its brown bears.  The park and preserve encompass 4,093,077 acres (6,395.43 sq mi; 16,564.09 km2), which is between the sizes of Connecticut and New Jersey.
Lake Clark National Park and Preserve	Alaska	https://en.wikipedia.org/wiki/Lake_Clark_National_Park_and_Preserve	National preserves	60.967; -153.417	Lake Clark National Park and Preserve is an American national park in southwest Alaska, about 100 miles (160 km) southwest of Anchorage.  The park was first proclaimed a national monument in 1978, then established as a national park and preserve in 1980 by the Alaska National Interest Lands Conservation Act.
Little River Canyon National Preserve	Alabama	https://en.wikipedia.org/wiki/Little_River_Canyon_National_Preserve	National preserves	34.44056; -85.59556	Little River Canyon National Preserve is a United States National Preserve located on top of Lookout Mountain near Fort Payne, Alabama, and DeSoto State Park.  Created by an Act of Congress in 1992, the 15,288-acre (6,187 ha) preserve protects what is sometimes said to be the nation's longest mountaintop river, the Little River.
Mojave National Preserve	California	https://en.wikipedia.org/wiki/Mojave_National_Preserve	National preserves	34.883; -115.717	Mojave National Preserve is a United States National Preserve located in the Mojave Desert of San Bernardino County, California, USA, between Interstate 15 and Interstate 40.  The preserve was established October 31, 1994, with the enactment of the California Desert Protection Act by the United States Congress,[3] which also established Joshua Tree National Park and Death Valley National Park as National Parks.
New River Gorge National Park and Preserve (not a separate unit)	West Virginia	https://en.wikipedia.org/wiki/New_River_Gorge_National_Park_and_Preserve	National preserves	37.96083; -81.08167	The New River Gorge National Park and Preserve is a unit of the United States National Park Service (NPS) designed to protect and maintain the New River Gorge in southern West Virginia in the Appalachian Mountains.   Established in 1978 as a national river and redesignated in 2020, the park and preserve stretches for 53 miles (85 km) from just downstream of Hinton to Hawks Nest State Park near Ansted.
Noatak National Preserve	Alaska	https://en.wikipedia.org/wiki/Noatak_National_Preserve	National preserves	68.000; -159.500	Noatak National Preserve  is a United States National Preserve in northwestern Alaska that was established to protect the Noatak River Basin.  The Noatak River system, located just north of the Arctic Circle, is thought to be the last remaining complete river system in the United States that has not been altered by human activities.
Oregon Caves National Monument and Preserve (not a separate unit)	Oregon	https://en.wikipedia.org/wiki/Oregon_Caves_National_Monument_and_Preserve	National preserves	42.09556; -123.40583	Unknown
Tallgrass Prairie National Preserve	Kansas	https://en.wikipedia.org/wiki/Tallgrass_Prairie_National_Preserve	National preserves	38.43278; -96.55889	Tallgrass Prairie National Preserve is a United States National Preserve located in the Flint Hills region of Kansas, north of Strong City.  The preserve protects a nationally significant example of the once vast tallgrass prairie ecosystem.
Timucuan Ecological and Historic Preserve	Florida	https://en.wikipedia.org/wiki/Timucuan_Ecological_and_Historic_Preserve	National preserves	30.45445; -81.44988	The Timucuan Ecological and Historic Preserve is a U. S.
Valles Caldera National Preserve	New Mexico	https://en.wikipedia.org/wiki/Valles_Caldera_National_Preserve	National preserves	35.900; -106.533	Valles Caldera (or Jemez Caldera) is a 13.7-mile (22.0 km) wide volcanic caldera in the Jemez Mountains of northern New Mexico. [1] Hot springs, streams, fumaroles, natural gas seeps and volcanic domes dot the caldera floor landscape.
Wrangell–St. Elias National Park and Preserve	Alaska	https://en.wikipedia.org/wiki/Wrangell%E2%80%93St._Elias_National_Park_and_Preserve	National preserves	61.43500; -142.95361	Wrangell–St.  Elias National Park and Preserve is an American national park and preserve managed by the National Park Service in south central Alaska.
Yukon–Charley Rivers National Preserve	Alaska	https://en.wikipedia.org/wiki/Yukon%E2%80%93Charley_Rivers_National_Preserve	National preserves	65.000; -143.500	Yukon–Charley Rivers National Preserve is a United States national preserve located in east central Alaska along the border with Canada.  Managed by the National Park Service, the preserve encompasses 130 miles (208 km) of the 1,800-mile (3,000 km) Yukon River and the entire Charley River basin.
Abraham Lincoln Birthplace National Historical Park	Kentucky	https://en.wikipedia.org/wiki/Abraham_Lincoln_Birthplace_National_Historical_Park	National historical parks	37.53139; -85.73611	Abraham Lincoln Birthplace National Historical Park is a designated U. S.
Adams National Historical Park	Massachusetts	https://en.wikipedia.org/wiki/Adams_National_Historical_Park	National historical parks	42.25639; -71.01139	Adams National Historical Park, formerly Adams National Historic Site, in Quincy, Massachusetts, preserves the home of United States presidents John Adams and John Quincy Adams, of U. S.
Appomattox Court House National Historical Park	Virginia	https://en.wikipedia.org/wiki/Appomattox_Court_House_National_Historical_Park	National historical parks	37.37750; -78.796000	The Appomattox Court House National Historical Park is a preserved 19th-century village in Appomattox County, Virginia.  The village is the site of the Battle of Appomattox Court House, and contains the McLean House, where the surrender of the Army of Northern Virginia under Robert E.
Blackstone River Valley National Historical Park	Rhode Island, Massachusetts	https://en.wikipedia.org/wiki/Blackstone_River_Valley_National_Historical_Park	National historical parks	41.87750; -71.38250	Blackstone River Valley National Historical Park is a National Park Service unit in the states of Rhode Island and Massachusetts.  The park was created for the purpose of preserving, protecting, and interpreting the industrial heritage of the Blackstone River Valley and the urban, rural, and agricultural landscape of that region.
Boston National Historical Park	Massachusetts	https://en.wikipedia.org/wiki/Boston_National_Historical_Park	National historical parks	42.36000; -71.05639	The Boston National Historical Park is an association of sites that showcase Boston's role in the American Revolution and other parts of history.  It was designated a national park on October 1, 1974.
Brown v. Board of Education National Historical Park	Kansas, South Carolina	https://en.wikipedia.org/wiki/Brown_v._Board_of_Education_National_Historical_Park	National historical parks	39.03806; -95.67639	Brown v.  Board of Education National Historical Park was established in Topeka, Kansas, on October 26, 1992, by the United States Congress to commemorate the landmark decision of the U.
Cane River Creole National Historical Park	Louisiana	https://en.wikipedia.org/wiki/Cane_River_Creole_National_Historical_Park	National historical parks	31.66556; -93.00278	Established in 1994, the Cane River Creole National Historical Park serves to preserve the resources and cultural landscapes of the Cane River region in Natchitoches Parish, Louisiana.   Located along the Cane River Lake, the park is approximately 63 acres and includes two French Creole cotton plantations, Oakland and Magnolia.
Cedar Creek and Belle Grove National Historical Park	Virginia	https://en.wikipedia.org/wiki/Cedar_Creek_and_Belle_Grove_National_Historical_Park	National historical parks	39.16750; -78.30083	Cedar Creek and Belle Grove National Historical Park became the 388th unit of the United States National Park Service when it was authorized on December 19, 2002.  The National Historical Park was created to protect several historically significant locations in the Shenandoah Valley of Northern Virginia, notably the site of the American Civil War Battle of Cedar Creek and the Belle Grove Plantation.
Chaco Culture National Historical Park	New Mexico	https://en.wikipedia.org/wiki/Chaco_Culture_National_Historical_Park	National historical parks	36.06; -107.96	Unknown
